BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,...,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE,
0,195004,28,1445,195004,28,1445,NaN,10096222,OKLAHOMA,40,...,0,NaN,NaN,35.12,-99.2,35.17,-99.2,NaN,NaN,PUB
8,195009,15,1745,195009,15,1745,NaN,10099490,OKLAHOMA,40,...,0,NaN,NaN,35,-96.25,35.07,-96.17,NaN,NaN,PUB
9,195009,16,130,195009,16,130,NaN,10099491,OKLAHOMA,40,...,0,NaN,NaN,34.83,-95.85,NaN,NaN,NaN,NaN,PUB
10,195010,1,2100,195010,1,2100,NaN,10099492,OKLAHOMA,40,...,0,NaN,NaN,36.73,-102.52,36.88,-102.3,NaN,NaN,PUB
12,195002,27,1020,195002,27,1020,NaN,10096216,OKLAHOMA,40,...,0,NaN,NaN,35.55,-97.6,NaN,NaN,NaN,NaN,PUB
13,195003,27,300,195003,27,300,NaN,10096217,OKLAHOMA,40,...,0,NaN,NaN,34.85,-95.75,NaN,NaN,NaN,NaN,PUB
14,195004,2,1800,195004,2,1800,NaN,10096218,OKLAHOMA,40,...,0,NaN,NaN,35.82,-97.02,NaN,NaN,NaN,NaN,PUB
15,195004,3,1615,195004,3,1615,NaN,10096219,OKLAHOMA,40,...,0,NaN,NaN,36.13,-95.83,NaN,NaN,NaN,NaN,PUB
16,195004,28,1417,195004,28,1417,NaN,10096220,OKLAHOMA,40,...,0,NaN,NaN,34.88,-99.28,35,-99.2,NaN,NaN,PUB
17,195004,28,1435,195004,28,1435,NaN,10096221,OKLAHOMA,40,...,0,NaN,NaN,35,-99.2,35.12,-99.2,NaN,NaN,PUB
18,195004,28,1905,195004,28,1905,NaN,10096223,OKLAHOMA,40,...,0,NaN,NaN,35.08,-96.4,35.13,-96.35,NaN,NaN,PUB
19,195004,28,1930,195004,28,1930,NaN,10096224,OKLAHOMA,40,...,0,NaN,NaN,34.55,-96.2,NaN,NaN,NaN,NaN,PUB
20,195005,4,2130,195005,4,2130,NaN,10096225,OKLAHOMA,40,...,0,NaN,NaN,35.58,-99.17,NaN,NaN,NaN,NaN,PUB
21,195005,4,2130,195005,4,2130,NaN,10096226,OKLAHOMA,40,...,0,NaN,NaN,35.25,-99.55,35.32,-99.5,NaN,NaN,PUB
22,195005,4,2145,195005,4,2145,NaN,10096227,OKLAHOMA,40,...,0,NaN,NaN,36.57,-99.57,NaN,NaN,NaN,NaN,PUB
23,195005,7,1830,195005,7,1830,NaN,10096228,OKLAHOMA,40,...,0,NaN,NaN,36.3,-99.8,NaN,NaN,NaN,NaN,PUB
24,195005,7,2300,195005,7,2300,NaN,10096229,OKLAHOMA,40,...,0,NaN,NaN,36,-97,NaN,NaN,NaN,NaN,PUB
25,195005,7,2300,195005,7,2300,NaN,10096230,OKLAHOMA,40,...,0,NaN,NaN,36.12,-97.83,36.17,-97.78,NaN,NaN,PUB
60,195005,9,2020,195005,9,2020,NaN,10096231,OKLAHOMA,40,...,0,NaN,NaN,34.77,-96.83,NaN,NaN,NaN,NaN,PUB
61,195005,11,1830,195005,11,1830,NaN,10096232,OKLAHOMA,40,...,0,NaN,NaN,36.82,-100.52,NaN,NaN,NaN,NaN,PUB
62,195005,16,1930,195005,16,1930,NaN,10096233,OKLAHOMA,40,...,0,NaN,NaN,35.82,-99.12,35.87,-99,NaN,NaN,PUB
63,195005,22,1239,195005,22,1239,NaN,10096234,OKLAHOMA,40,...,0,NaN,NaN,35.67,-99.23,NaN,NaN,NaN,NaN,PUB
64,195005,24,2130,195005,24,2130,NaN,10096235,OKLAHOMA,40,...,0,NaN,NaN,36.45,-99.03,NaN,NaN,NaN,NaN,PUB
65,195005,29,1448,195005,29,1448,NaN,10096236,OKLAHOMA,40,...,0,NaN,NaN,36.38,-95.27,NaN,NaN,NaN,NaN,PUB
66,195006,9,1825,195006,9,1825,NaN,10096237,OKLAHOMA,40,...,0,NaN,NaN,36.8,-97.25,NaN,NaN,NaN,NaN,PUB
